symbol,effective_from,effective_to,screening_snapshot_date,membership_source,membership_confidence,source_id,source_note,is_exact_index_membership,is_shariah_screened_eligible
BHAT,2022-01-03,2022-07-15,2022-01-03,official_full_screening_table,high,review_2021_h1,"Directly parsed compliant rows from official PSX screening table; includes compliant defaulter rows because this artifact is a screening universe, not exact index membership.",False,True
BIFO,2022-01-03,2022-07-15,2022-01-03,official_full_screening_table,high,review_2021_h1,"Directly parsed compliant rows from official PSX screening table; includes compliant defaulter rows because this artifact is a screening universe, not exact index membership.",False,True
BIPL,2022-01-03,2022-07-15,2022-01-03,official_full_screening_table,high,review_2021_h1,"Directly parsed compliant rows from official PSX screening table; includes compliant defaulter rows because this artifact is a screening universe, not exact index membership.",False,True
BNL,2022-01-03,2022-07-15,2022-01-03,official_full_screening_table,high,review_2021_h1,"Directly parsed compliant rows from official PSX screening table; includes compliant defaulter rows because this artifact is a screening universe, not exact index membership.",False,True
BNWM,2022-01-03,2022-07-15,2022-01-03,official_full_screening_table,high,review_2021_h1,"Directly parsed compliant rows from official PSX screening table; includes compliant defaulter rows because this artifact is a screening universe, not exact index membership.",False,True
BPL,2022-01-03,2022-07-15,2022-01-03,official_full_screening_table,high,review_2021_h1,"Directly parsed compliant rows from official PSX screening table; includes compliant defaulter rows because this artifact is a screening universe, not exact index membership.",False,True
BRR,2022-01-03,2022-07-15,2022-01-03,official_full_screening_table,high,review_2021_h1,"Directly parsed compliant rows from official PSX screening table; includes compliant defaulter rows because this artifact is a screening universe, not exact index membership.",False,True
BTL,2022-01-03,2022-07-15,2022-01-03,official_full_screening_table,high,review_2021_h1,"Directly parsed compliant rows from official PSX screening table; includes compliant defaulter rows because this artifact is a screening universe, not exact index membership.",False,True
BUXL,2022-01-03,2022-07-15,2022-01-03,official_full_screening_table,high,review_2021_h1,"Directly parsed compliant rows from official PSX screening table; includes compliant defaulter rows because this artifact is a screening universe, not exact index membership.",False,True
BWCL,2022-01-03,2022-07-15,2022-01-03,official_full_screening_table,high,review_2021_h1,"Directly parsed compliant rows from official PSX screening table; includes compliant defaulter rows because this artifact is a screening universe, not exact index membership.",False,True
BWHL,2022-01-03,2022-07-15,2022-01-03,official_full_screening_table,high,review_2021_h1,"Directly parsed compliant rows from official PSX screening table; includes compliant defaulter rows because this artifact is a screening universe, not exact index membership.",False,True
BYCO,2022-01-03,2022-07-15,2022-01-03,official_full_screening_table,high,review_2021_h1,"Directly parsed compliant rows from official PSX screening table; includes compliant defaulter rows because this artifact is a screening universe, not exact index membership.",False,True
CCM,2022-01-03,2022-07-15,2022-01-03,official_full_screening_table,high,review_2021_h1,"Directly parsed compliant rows from official PSX screening table; includes compliant defaulter rows because this artifact is a screening universe, not exact index membership.",False,True
CEPB,2022-01-03,2022-07-15,2022-01-03,official_full_screening_table,high,review_2021_h1,"Directly parsed compliant rows from official PSX screening table; includes compliant defaulter rows because this artifact is a screening universe, not exact index membership.",False,True
CFL,2022-01-03,2022-07-15,2022-01-03,official_full_screening_table,high,review_2021_h1,"Directly parsed compliant rows from official PSX screening table; includes compliant defaulter rows because this artifact is a screening universe, not exact index membership.",False,True
CHCC,2022-01-03,2022-07-15,2022-01-03,official_full_screening_table,high,review_2021_h1,"Directly parsed compliant rows from official PSX screening table; includes compliant defaulter rows because this artifact is a screening universe, not exact index membership.",False,True
CLOV,2022-01-03,2022-07-15,2022-01-03,official_full_screening_table,high,review_2021_h1,"Directly parsed compliant rows from official PSX screening table; includes compliant defaulter rows because this artifact is a screening universe, not exact index membership.",False,True
CPPL,2022-01-03,2022-07-15,2022-01-03,official_full_screening_table,high,review_2021_h1,"Directly parsed compliant rows from official PSX screening table; includes compliant defaulter rows because this artifact is a screening universe, not exact index membership.",False,True
DAAG,2022-01-03,2022-07-15,2022-01-03,official_full_screening_table,high,review_2021_h1,"Directly parsed compliant rows from official PSX screening table; includes compliant defaulter rows because this artifact is a screening universe, not exact index membership.",False,True
DADX,2022-01-03,2022-07-15,2022-01-03,official_full_screening_table,high,review_2021_h1,"Directly parsed compliant rows from official PSX screening table; includes compliant defaulter rows because this artifact is a screening universe, not exact index membership.",False,True
DAWH,2022-01-03,2022-07-15,2022-01-03,official_full_screening_table,high,review_2021_h1,"Directly parsed compliant rows from official PSX screening table; includes compliant defaulter rows because this artifact is a screening universe, not exact index membership.",False,True
DCL,2022-01-03,2022-07-15,2022-01-03,official_full_screening_table,high,review_2021_h1,"Directly parsed compliant rows from official PSX screening table; includes compliant defaulter rows because this artifact is a screening universe, not exact index membership.",False,True
DCR,2022-01-03,2022-07-15,2022-01-03,official_full_screening_table,high,review_2021_h1,"Directly parsed compliant rows from official PSX screening table; includes compliant defaulter rows because this artifact is a screening universe, not exact index membership.",False,True
DFSM,2022-01-03,2022-07-15,2022-01-03,official_full_screening_table,high,review_2021_h1,"Directly parsed compliant rows from official PSX screening table; includes compliant defaulter rows because this artifact is a screening universe, not exact index membership.",False,True
DGKC,2022-01-03,2022-07-15,2022-01-03,official_full_screening_table,high,review_2021_h1,"Directly parsed compliant rows from official PSX screening table; includes compliant defaulter rows because this artifact is a screening universe, not exact index membership.",False,True
DINT,2022-01-03,2022-07-15,2022-01-03,official_full_screening_table,high,review_2021_h1,"Directly parsed compliant rows from official PSX screening table; includes compliant defaulter rows because this artifact is a screening universe, not exact index membership.",False,True
DMTX,2022-01-03,2022-07-15,2022-01-03,official_full_screening_table,high,review_2021_h1,"Directly parsed compliant rows from official PSX screening table; includes compliant defaulter rows because this artifact is a screening universe, not exact index membership.",False,True
DOL,2022-01-03,2022-07-15,2022-01-03,official_full_screening_table,high,review_2021_h1,"Directly parsed compliant rows from official PSX screening table; includes compliant defaulter rows because this artifact is a screening universe, not exact index membership.",False,True
DSIL,2022-01-03,2022-07-15,2022-01-03,official_full_screening_table,high,review_2021_h1,"Directly parsed compliant rows from official PSX screening table; includes compliant defaulter rows because this artifact is a screening universe, not exact index membership.",False,True
DYNO,2022-01-03,2022-07-15,2022-01-03,official_full_screening_table,high,review_2021_h1,"Directly parsed compliant rows from official PSX screening table; includes compliant defaulter rows because this artifact is a screening universe, not exact index membership.",False,True
EFERT,2022-01-03,2022-07-15,2022-01-03,official_full_screening_table,high,review_2021_h1,"Directly parsed compliant rows from official PSX screening table; includes compliant defaulter rows because this artifact is a screening universe, not exact index membership.",False,True
ELCM,2022-01-03,2022-07-15,2022-01-03,official_full_screening_table,high,review_2021_h1,"Directly parsed compliant rows from official PSX screening table; includes compliant defaulter rows because this artifact is a screening universe, not exact index membership.",False,True
EMCO,2022-01-03,2022-07-15,2022-01-03,official_full_screening_table,high,review_2021_h1,"Directly parsed compliant rows from official PSX screening table; includes compliant defaulter rows because this artifact is a screening universe, not exact index membership.",False,True
ENGRO,2022-01-03,2022-07-15,2022-01-03,official_full_screening_table,high,review_2021_h1,"Directly parsed compliant rows from official PSX screening table; includes compliant defaulter rows because this artifact is a screening universe, not exact index membership.",False,True
EPCL,2022-01-03,2022-07-15,2022-01-03,official_full_screening_table,high,review_2021_h1,"Directly parsed compliant rows from official PSX screening table; includes compliant defaulter rows because this artifact is a screening universe, not exact index membership.",False,True
EXIDE,2022-01-03,2022-07-15,2022-01-03,official_full_screening_table,high,review_2021_h1,"Directly parsed compliant rows from official PSX screening table; includes compliant defaulter rows because this artifact is a screening universe, not exact index membership.",False,True
FANM,2022-01-03,2022-07-15,2022-01-03,official_full_screening_table,high,review_2021_h1,"Directly parsed compliant rows from official PSX screening table; includes compliant defaulter rows because this artifact is a screening universe, not exact index membership.",False,True
FATIMA,2022-01-03,2022-07-15,2022-01-03,official_full_screening_table,high,review_2021_h1,"Directly parsed compliant rows from official PSX screening table; includes compliant defaulter rows because this artifact is a screening universe, not exact index membership.",False,True
FCCL,2022-01-03,2022-07-15,2022-01-03,official_full_screening_table,high,review_2021_h1,"Directly parsed compliant rows from official PSX screening table; includes compliant defaulter rows because this artifact is a screening universe, not exact index membership.",False,True
FCEPL,2022-01-03,2022-07-15,2022-01-03,official_full_screening_table,high,review_2021_h1,"Directly parsed compliant rows from official PSX screening table; includes compliant defaulter rows because this artifact is a screening universe, not exact index membership.",False,True
FECM,2022-01-03,2022-07-15,2022-01-03,official_full_screening_table,high,review_2021_h1,"Directly parsed compliant rows from official PSX screening table; includes compliant defaulter rows because this artifact is a screening universe, not exact index membership.",False,True
FECTC,2022-01-03,2022-07-15,2022-01-03,official_full_screening_table,high,review_2021_h1,"Directly parsed compliant rows from official PSX screening table; includes compliant defaulter rows because this artifact is a screening universe, not exact index membership.",False,True
FEM,2022-01-03,2022-07-15,2022-01-03,official_full_screening_table,high,review_2021_h1,"Directly parsed compliant rows from official PSX screening table; includes compliant defaulter rows because this artifact is a screening universe, not exact index membership.",False,True
FEROZ,2022-01-03,2022-07-15,2022-01-03,official_full_screening_table,high,review_2021_h1,"Directly parsed compliant rows from official PSX screening table; includes compliant defaulter rows because this artifact is a screening universe, not exact index membership.",False,True
FFLM,2022-01-03,2022-07-15,2022-01-03,official_full_screening_table,high,review_2021_h1,"Directly parsed compliant rows from official PSX screening table; includes compliant defaulter rows because this artifact is a screening universe, not exact index membership.",False,True
FHAM,2022-01-03,2022-07-15,2022-01-03,official_full_screening_table,high,review_2021_h1,"Directly parsed compliant rows from official PSX screening table; includes compliant defaulter rows because this artifact is a screening universe, not exact index membership.",False,True
FIMM,2022-01-03,2022-07-15,2022-01-03,official_full_screening_table,high,review_2021_h1,"Directly parsed compliant rows from official PSX screening table; includes compliant defaulter rows because this artifact is a screening universe, not exact index membership.",False,True
FLYNG,2022-01-03,2022-07-15,2022-01-03,official_full_screening_table,high,review_2021_h1,"Directly parsed compliant rows from official PSX screening table; includes compliant defaulter rows because this artifact is a screening universe, not exact index membership.",False,True
FML,2022-01-03,2022-07-15,2022-01-03,official_full_screening_table,high,review_2021_h1,"Directly parsed compliant rows from official PSX screening table; includes compliant defaulter rows because this artifact is a screening universe, not exact index membership.",False,True
FPJM,2022-01-03,2022-07-15,2022-01-03,official_full_screening_table,high,review_2021_h1,"Directly parsed compliant rows from official PSX screening table; includes compliant defaulter rows because this artifact is a screening universe, not exact index membership.",False,True
FPRM,2022-01-03,2022-07-15,2022-01-03,official_full_screening_table,high,review_2021_h1,"Directly parsed compliant rows from official PSX screening table; includes compliant defaulter rows because this artifact is a screening universe, not exact index membership.",False,True
FRCL,2022-01-03,2022-07-15,2022-01-03,official_full_screening_table,high,review_2021_h1,"Directly parsed compliant rows from official PSX screening table; includes compliant defaulter rows because this artifact is a screening universe, not exact index membership.",False,True
FRSM,2022-01-03,2022-07-15,2022-01-03,official_full_screening_table,high,review_2021_h1,"Directly parsed compliant rows from official PSX screening table; includes compliant defaulter rows because this artifact is a screening universe, not exact index membership.",False,True
FTMM,2022-01-03,2022-07-15,2022-01-03,official_full_screening_table,high,review_2021_h1,"Directly parsed compliant rows from official PSX screening table; includes compliant defaulter rows because this artifact is a screening universe, not exact index membership.",False,True
FTSM,2022-01-03,2022-07-15,2022-01-03,official_full_screening_table,high,review_2021_h1,"Directly parsed compliant rows from official PSX screening table; includes compliant defaulter rows because this artifact is a screening universe, not exact index membership.",False,True
FUDLM,2022-01-03,2022-07-15,2022-01-03,official_full_screening_table,high,review_2021_h1,"Directly parsed compliant rows from official PSX screening table; includes compliant defaulter rows because this artifact is a screening universe, not exact index membership.",False,True
FZCM,2022-01-03,2022-07-15,2022-01-03,official_full_screening_table,high,review_2021_h1,"Directly parsed compliant rows from official PSX screening table; includes compliant defaulter rows because this artifact is a screening universe, not exact index membership.",False,True
GADT,2022-01-03,2022-07-15,2022-01-03,official_full_screening_table,high,review_2021_h1,"Directly parsed compliant rows from official PSX screening table; includes compliant defaulter rows because this artifact is a screening universe, not exact index membership.",False,True
GAIL,2022-01-03,2022-07-15,2022-01-03,official_full_screening_table,high,review_2021_h1,"Directly parsed compliant rows from official PSX screening table; includes compliant defaulter rows because this artifact is a screening universe, not exact index membership.",False,True
GAMON,2022-01-03,2022-07-15,2022-01-03,official_full_screening_table,high,review_2021_h1,"Directly parsed compliant rows from official PSX screening table; includes compliant defaulter rows because this artifact is a screening universe, not exact index membership.",False,True
GATI,2022-01-03,2022-07-15,2022-01-03,official_full_screening_table,high,review_2021_h1,"Directly parsed compliant rows from official PSX screening table; includes compliant defaulter rows because this artifact is a screening universe, not exact index membership.",False,True
GFIL,2022-01-03,2022-07-15,2022-01-03,official_full_screening_table,high,review_2021_h1,"Directly parsed compliant rows from official PSX screening table; includes compliant defaulter rows because this artifact is a screening universe, not exact index membership.",False,True
GGGL,2022-01-03,2022-07-15,2022-01-03,official_full_screening_table,high,review_2021_h1,"Directly parsed compliant rows from official PSX screening table; includes compliant defaulter rows because this artifact is a screening universe, not exact index membership.",False,True
GGL,2022-01-03,2022-07-15,2022-01-03,official_full_screening_table,high,review_2021_h1,"Directly parsed compliant rows from official PSX screening table; includes compliant defaulter rows because this artifact is a screening universe, not exact index membership.",False,True
GHGL,2022-01-03,2022-07-15,2022-01-03,official_full_screening_table,high,review_2021_h1,"Directly parsed compliant rows from official PSX screening table; includes compliant defaulter rows because this artifact is a screening universe, not exact index membership.",False,True
GHNI,2022-01-03,2022-07-15,2022-01-03,official_full_screening_table,high,review_2021_h1,"Directly parsed compliant rows from official PSX screening table; includes compliant defaulter rows because this artifact is a screening universe, not exact index membership.",False,True
GHNL,2022-01-03,2022-07-15,2022-01-03,official_full_screening_table,high,review_2021_h1,"Directly parsed compliant rows from official PSX screening table; includes compliant defaulter rows because this artifact is a screening universe, not exact index membership.",False,True
GIL,2022-01-03,2022-07-15,2022-01-03,official_full_screening_table,high,review_2021_h1,"Directly parsed compliant rows from official PSX screening table; includes compliant defaulter rows because this artifact is a screening universe, not exact index membership.",False,True
GLAXO,2022-01-03,2022-07-15,2022-01-03,official_full_screening_table,high,review_2021_h1,"Directly parsed compliant rows from official PSX screening table; includes compliant defaulter rows because this artifact is a screening universe, not exact index membership.",False,True
GLPL,2022-01-03,2022-07-15,2022-01-03,official_full_screening_table,high,review_2021_h1,"Directly parsed compliant rows from official PSX screening table; includes compliant defaulter rows because this artifact is a screening universe, not exact index membership.",False,True
GOC,2022-01-03,2022-07-15,2022-01-03,official_full_screening_table,high,review_2021_h1,"Directly parsed compliant rows from official PSX screening table; includes compliant defaulter rows because this artifact is a screening universe, not exact index membership.",False,True
GSKCH,2022-01-03,2022-07-15,2022-01-03,official_full_screening_table,high,review_2021_h1,"Directly parsed compliant rows from official PSX screening table; includes compliant defaulter rows because this artifact is a screening universe, not exact index membership.",False,True
GVGL,2022-01-03,2022-07-15,2022-01-03,official_full_screening_table,high,review_2021_h1,"Directly parsed compliant rows from official PSX screening table; includes compliant defaulter rows because this artifact is a screening universe, not exact index membership.",False,True
GWLC,2022-01-03,2022-07-15,2022-01-03,official_full_screening_table,high,review_2021_h1,"Directly parsed compliant rows from official PSX screening table; includes compliant defaulter rows because this artifact is a screening universe, not exact index membership.",False,True
HABSM,2022-01-03,2022-07-15,2022-01-03,official_full_screening_table,high,review_2021_h1,"Directly parsed compliant rows from official PSX screening table; includes compliant defaulter rows because this artifact is a screening universe, not exact index membership.",False,True
HAFL,2022-01-03,2022-07-15,2022-01-03,official_full_screening_table,high,review_2021_h1,"Directly parsed compliant rows from official PSX screening table; includes compliant defaulter rows because this artifact is a screening universe, not exact index membership.",False,True
HCAR,2022-01-03,2022-07-15,2022-01-03,official_full_screening_table,high,review_2021_h1,"Directly parsed compliant rows from official PSX screening table; includes compliant defaulter rows because this artifact is a screening universe, not exact index membership.",False,True
HINO,2022-01-03,2022-07-15,2022-01-03,official_full_screening_table,high,review_2021_h1,"Directly parsed compliant rows from official PSX screening table; includes compliant defaulter rows because this artifact is a screening universe, not exact index membership.",False,True
HINOON,2022-01-03,2022-07-15,2022-01-03,official_full_screening_table,high,review_2021_h1,"Directly parsed compliant rows from official PSX screening table; includes compliant defaulter rows because this artifact is a screening universe, not exact index membership.",False,True
HMM,2022-01-03,2022-07-15,2022-01-03,official_full_screening_table,high,review_2021_h1,"Directly parsed compliant rows from official PSX screening table; includes compliant defaulter rows because this artifact is a screening universe, not exact index membership.",False,True
HRPL,2022-01-03,2022-07-15,2022-01-03,official_full_screening_table,high,review_2021_h1,"Directly parsed compliant rows from official PSX screening table; includes compliant defaulter rows because this artifact is a screening universe, not exact index membership.",False,True
HSM,2022-01-03,2022-07-15,2022-01-03,official_full_screening_table,high,review_2021_h1,"Directly parsed compliant rows from official PSX screening table; includes compliant defaulter rows because this artifact is a screening universe, not exact index membership.",False,True
HTL,2022-01-03,2022-07-15,2022-01-03,official_full_screening_table,high,review_2021_h1,"Directly parsed compliant rows from official PSX screening table; includes compliant defaulter rows because this artifact is a screening universe, not exact index membership.",False,True
HUBC,2022-01-03,2022-07-15,2022-01-03,official_full_screening_table,high,review_2021_h1,"Directly parsed compliant rows from official PSX screening table; includes compliant defaulter rows because this artifact is a screening universe, not exact index membership.",False,True
IBFL,2022-01-03,2022-07-15,2022-01-03,official_full_screening_table,high,review_2021_h1,"Directly parsed compliant rows from official PSX screening table; includes compliant defaulter rows because this artifact is a screening universe, not exact index membership.",False,True
IBLHL,2022-01-03,2022-07-15,2022-01-03,official_full_screening_table,high,review_2021_h1,"Directly parsed compliant rows from official PSX screening table; includes compliant defaulter rows because this artifact is a screening universe, not exact index membership.",False,True
ICI,2022-01-03,2022-07-15,2022-01-03,official_full_screening_table,high,review_2021_h1,"Directly parsed compliant rows from official PSX screening table; includes compliant defaulter rows because this artifact is a screening universe, not exact index membership.",False,True
ICL,2022-01-03,2022-07-15,2022-01-03,official_full_screening_table,high,review_2021_h1,"Directly parsed compliant rows from official PSX screening table; includes compliant defaulter rows because this artifact is a screening universe, not exact index membership.",False,True
IDRT,2022-01-03,2022-07-15,2022-01-03,official_full_screening_table,high,review_2021_h1,"Directly parsed compliant rows from official PSX screening table; includes compliant defaulter rows because this artifact is a screening universe, not exact index membership.",False,True
IDSM,2022-01-03,2022-07-15,2022-01-03,official_full_screening_table,high,review_2021_h1,"Directly parsed compliant rows from official PSX screening table; includes compliant defaulter rows because this artifact is a screening universe, not exact index membership.",False,True
ILP,2022-01-03,2022-07-15,2022-01-03,official_full_screening_table,high,review_2021_h1,"Directly parsed compliant rows from official PSX screening table; includes compliant defaulter rows because this artifact is a screening universe, not exact index membership.",False,True
IMAGE,2022-01-03,2022-07-15,2022-01-03,official_full_screening_table,high,review_2021_h1,"Directly parsed compliant rows from official PSX screening table; includes compliant defaulter rows because this artifact is a screening universe, not exact index membership.",False,True
INIL,2022-01-03,2022-07-15,2022-01-03,official_full_screening_table,high,review_2021_h1,"Directly parsed compliant rows from official PSX screening table; includes compliant defaulter rows because this artifact is a screening universe, not exact index membership.",False,True
INKL,2022-01-03,2022-07-15,2022-01-03,official_full_screening_table,high,review_2021_h1,"Directly parsed compliant rows from official PSX screening table; includes compliant defaulter rows because this artifact is a screening universe, not exact index membership.",False,True
ISL,2022-01-03,2022-07-15,2022-01-03,official_full_screening_table,high,review_2021_h1,"Directly parsed compliant rows from official PSX screening table; includes compliant defaulter rows because this artifact is a screening universe, not exact index membership.",False,True
ITTEFAQ,2022-01-03,2022-07-15,2022-01-03,official_full_screening_table,high,review_2021_h1,"Directly parsed compliant rows from official PSX screening table; includes compliant defaulter rows because this artifact is a screening universe, not exact index membership.",False,True
JATM,2022-01-03,2022-07-15,2022-01-03,official_full_screening_table,high,review_2021_h1,"Directly parsed compliant rows from official PSX screening table; includes compliant defaulter rows because this artifact is a screening universe, not exact index membership.",False,True
JDMT,2022-01-03,2022-07-15,2022-01-03,official_full_screening_table,high,review_2021_h1,"Directly parsed compliant rows from official PSX screening table; includes compliant defaulter rows because this artifact is a screening universe, not exact index membership.",False,True
JKSM,2022-01-03,2022-07-15,2022-01-03,official_full_screening_table,high,review_2021_h1,"Directly parsed compliant rows from official PSX screening table; includes compliant defaulter rows because this artifact is a screening universe, not exact index membership.",False,True
JSML,2022-01-03,2022-07-15,2022-01-03,official_full_screening_table,high,review_2021_h1,"Directly parsed compliant rows from official PSX screening table; includes compliant defaulter rows because this artifact is a screening universe, not exact index membership.",False,True
JUBS,2022-01-03,2022-07-15,2022-01-03,official_full_screening_table,high,review_2021_h1,"Directly parsed compliant rows from official PSX screening table; includes compliant defaulter rows because this artifact is a screening universe, not exact index membership.",False,True
JVDC,2022-01-03,2022-07-15,2022-01-03,official_full_screening_table,high,review_2021_h1,"Directly parsed compliant rows from official PSX screening table; includes compliant defaulter rows because this artifact is a screening universe, not exact index membership.",False,True
KASBM,2022-01-03,2022-07-15,2022-01-03,official_full_screening_table,high,review_2021_h1,"Directly parsed compliant rows from official PSX screening table; includes compliant defaulter rows because this artifact is a screening universe, not exact index membership.",False,True
KEL,2022-01-03,2022-07-15,2022-01-03,official_full_screening_table,high,review_2021_h1,"Directly parsed compliant rows from official PSX screening table; includes compliant defaulter rows because this artifact is a screening universe, not exact index membership.",False,True
KHSM,2022-01-03,2022-07-15,2022-01-03,official_full_screening_table,high,review_2021_h1,"Directly parsed compliant rows from official PSX screening table; includes compliant defaulter rows because this artifact is a screening universe, not exact index membership.",False,True
KHYT,2022-01-03,2022-07-15,2022-01-03,official_full_screening_table,high,review_2021_h1,"Directly parsed compliant rows from official PSX screening table; includes compliant defaulter rows because this artifact is a screening universe, not exact index membership.",False,True
